annual_income,loan_amount,loan_duration_months,age,credit_history,employment_length,housing,purpose,gender,age_group,label
99600.0,2862.0,36.0,30.0,existing paid,7+ yrs,free,car,male,young,1
54400.0,5103.0,24.0,47.0,paid back duly,<1 yr,free,other,male,middle,1
22300.0,6260.0,18.0,28.0,no credits,4-7 yrs,rent,car,male,young,1
16400.0,4870.0,24.0,53.0,existing paid,1-4 yrs,free,car,male,senior,0
62200.0,6110.0,48.0,31.0,paid back duly,1-4 yrs,free,education,male,middle,1
29700.0,1287.0,10.0,45.0,no credits,7+ yrs,own,car,male,middle,1
55500.0,1393.0,12.0,47.0,no credits,7+ yrs,own,education,male,middle,1
31300.0,12976.0,18.0,38.0,no credits,unemployed,free,car,female,middle,0
60600.0,2782.0,21.0,31.0,no credits,4-7 yrs,own,car,female,middle,1
38400.0,2764.0,33.0,26.0,existing paid,1-4 yrs,own,business,female,young,1
19400.0,1743.0,24.0,48.0,paid back duly,7+ yrs,own,other,male,middle,1
43500.0,909.0,36.0,36.0,no credits,7+ yrs,own,car,male,middle,1
25100.0,2235.0,20.0,33.0,paid back duly,1-4 yrs,rent,car,male,middle,0
48100.0,652.0,12.0,24.0,no credits,7+ yrs,rent,furniture,female,young,1
18000.0,3617.0,12.0,28.0,paid back duly,7+ yrs,rent,furniture,male,young,1
167500.0,3447.0,12.0,35.0,delayed,1-4 yrs,own,other,female,middle,1
101200.0,1542.0,12.0,36.0,no credits,4-7 yrs,own,business,male,middle,1
54000.0,1469.0,24.0,41.0,no credits,7+ yrs,rent,car,male,middle,1
67300.0,5190.0,27.0,48.0,no credits,7+ yrs,own,other,male,middle,1
23400.0,1343.0,6.0,46.0,paid back duly,7+ yrs,own,car,male,middle,1
10900.0,2483.0,24.0,22.0,delayed,1-4 yrs,own,furniture,male,young,1
92700.0,1597.0,10.0,40.0,no credits,1-4 yrs,rent,car,male,middle,1
73100.0,1113.0,18.0,26.0,no credits,1-4 yrs,own,other,female,young,1
42300.0,4020.0,24.0,27.0,no credits,1-4 yrs,own,furniture,male,young,1
101900.0,4771.0,11.0,51.0,existing paid,4-7 yrs,own,other,male,senior,1
59800.0,6967.0,24.0,36.0,existing paid,4-7 yrs,rent,business,male,middle,1
34100.0,2864.0,18.0,34.0,no credits,1-4 yrs,own,furniture,male,middle,0
20000.0,12612.0,36.0,47.0,no credits,1-4 yrs,free,education,male,middle,0
62200.0,3599.0,21.0,26.0,no credits,4-7 yrs,rent,furniture,female,young,1
16900.0,6761.0,6.0,45.0,paid back duly,4-7 yrs,own,car,male,middle,1
70700.0,1546.0,10.0,31.0,no credits,1-4 yrs,own,car,male,middle,1
57600.0,1940.0,18.0,36.0,delayed,<1 yr,free,other,male,middle,1
55500.0,2439.0,24.0,35.0,no credits,<1 yr,own,other,female,middle,0
13400.0,1103.0,12.0,29.0,no credits,4-7 yrs,own,other,male,young,1
51400.0,666.0,6.0,39.0,paid back duly,4-7 yrs,own,car,female,middle,1
51800.0,5324.0,15.0,35.0,no credits,7+ yrs,free,car,female,middle,1
67200.0,3990.0,36.0,29.0,delayed,<1 yr,own,furniture,female,young,1
27200.0,2255.0,24.0,54.0,no credits,<1 yr,own,car,male,senior,1
38900.0,1409.0,13.0,64.0,no credits,unemployed,own,other,female,senior,1
104200.0,1201.0,24.0,26.0,no credits,<1 yr,own,car,male,young,1
160200.0,1925.0,24.0,26.0,no credits,1-4 yrs,own,furniture,male,young,1
50600.0,1922.0,12.0,37.0,no credits,1-4 yrs,own,furniture,male,middle,0
21600.0,3835.0,36.0,45.0,no credits,7+ yrs,own,other,female,middle,1
56400.0,14782.0,60.0,60.0,delayed,7+ yrs,free,other,female,senior,0
130900.0,4591.0,24.0,54.0,no credits,1-4 yrs,own,business,male,senior,0
53800.0,760.0,8.0,44.0,no credits,4-7 yrs,own,other,female,middle,1
31100.0,3931.0,48.0,46.0,no credits,4-7 yrs,free,car,male,middle,0
25800.0,14027.0,60.0,27.0,no credits,4-7 yrs,own,car,male,young,0
12500.0,5743.0,24.0,24.0,paid back duly,<1 yr,free,education,female,young,1
48100.0,8318.0,27.0,42.0,critical,7+ yrs,free,business,female,middle,0
35700.0,2476.0,21.0,46.0,no credits,7+ yrs,own,car,male,middle,1
29800.0,1743.0,6.0,34.0,existing paid,1-4 yrs,own,business,male,middle,1
50500.0,2320.0,18.0,34.0,existing paid,unemployed,own,other,male,middle,1
53200.0,5943.0,24.0,44.0,no credits,<1 yr,own,other,female,middle,0
82700.0,3368.0,15.0,23.0,paid back duly,7+ yrs,rent,car,male,young,1
13400.0,385.0,12.0,58.0,paid back duly,4-7 yrs,own,other,female,senior,1
44600.0,7228.0,11.0,39.0,paid back duly,1-4 yrs,own,car,male,middle,1
44700.0,2331.0,12.0,49.0,paid back duly,7+ yrs,own,other,male,middle,1
62000.0,1984.0,18.0,47.0,no credits,1-4 yrs,free,furniture,male,middle,1
35900.0,1355.0,24.0,25.0,no credits,<1 yr,own,car,female,young,0
16000.0,1534.0,12.0,23.0,no credits,<1 yr,rent,other,male,young,0
17900.0,1056.0,18.0,30.0,paid back duly,7+ yrs,own,car,male,young,0
55000.0,999.0,24.0,25.0,no credits,7+ yrs,own,other,male,young,1
32700.0,1845.0,45.0,23.0,no credits,1-4 yrs,free,other,male,young,0
19900.0,3229.0,18.0,38.0,paid back duly,unemployed,own,car,male,middle,1
24900.0,10144.0,60.0,21.0,no credits,4-7 yrs,own,other,female,young,1
24600.0,939.0,12.0,28.0,paid back duly,4-7 yrs,own,car,male,young,0
32500.0,3577.0,9.0,26.0,no credits,1-4 yrs,rent,car,male,young,1
53800.0,1422.0,9.0,27.0,no credits,<1 yr,free,car,male,young,0
7600.0,1322.0,11.0,40.0,paid back duly,1-4 yrs,own,car,female,middle,1
31300.0,2538.0,24.0,47.0,existing paid,7+ yrs,own,car,male,middle,0
47000.0,7057.0,20.0,36.0,existing paid,4-7 yrs,rent,car,male,middle,1
162200.0,2957.0,24.0,63.0,paid back duly,7+ yrs,own,car,male,senior,1
36900.0,2520.0,27.0,23.0,paid back duly,1-4 yrs,own,other,male,young,0
100000.0,14318.0,36.0,57.0,no credits,7+ yrs,free,car,male,senior,0
24500.0,996.0,12.0,23.0,paid back duly,4-7 yrs,own,other,female,young,1
59700.0,1493.0,12.0,34.0,no credits,<1 yr,own,other,female,middle,1
17100.0,2302.0,36.0,31.0,no credits,1-4 yrs,rent,other,male,middle,0
28000.0,1938.0,24.0,32.0,no credits,<1 yr,own,other,male,middle,0
18300.0,12389.0,36.0,37.0,no credits,1-4 yrs,free,car,male,middle,0
34500.0,1291.0,12.0,35.0,paid back duly,1-4 yrs,own,other,female,middle,1
45200.0,884.0,18.0,36.0,paid back duly,7+ yrs,own,car,male,middle,0
73500.0,1941.0,18.0,35.0,no credits,1-4 yrs,own,business,male,middle,1
25000.0,5848.0,36.0,24.0,no credits,1-4 yrs,own,other,male,young,1
61300.0,2576.0,7.0,35.0,no credits,1-4 yrs,own,other,male,middle,1
26200.0,8133.0,36.0,30.0,no credits,1-4 yrs,own,car,female,young,1
37300.0,6468.0,12.0,52.0,no credits,unemployed,own,other,male,senior,0
32500.0,1935.0,24.0,31.0,paid back duly,7+ yrs,own,business,male,middle,0
50400.0,1503.0,12.0,41.0,existing paid,1-4 yrs,rent,car,male,middle,1
49800.0,4686.0,36.0,32.0,no credits,1-4 yrs,free,car,male,middle,1
44700.0,3069.0,24.0,30.0,no credits,7+ yrs,free,furniture,male,young,1
40800.0,4249.0,30.0,28.0,paid back duly,unemployed,own,car,male,young,0
56000.0,3430.0,24.0,31.0,no credits,7+ yrs,own,other,male,middle,1
11400.0,1543.0,6.0,33.0,no credits,1-4 yrs,own,furniture,male,middle,1
59600.0,1537.0,15.0,50.0,paid back duly,7+ yrs,own,other,male,middle,1
57900.0,6403.0,24.0,33.0,existing paid,<1 yr,own,other,male,middle,1
30600.0,2748.0,12.0,57.0,paid back duly,7+ yrs,free,education,female,senior,1
18300.0,1424.0,12.0,26.0,paid back duly,4-7 yrs,own,furniture,male,young,1
32400.0,929.0,24.0,31.0,no credits,4-7 yrs,own,furniture,male,middle,1
52100.0,8229.0,36.0,26.0,no credits,1-4 yrs,own,car,male,young,0
73400.0,7678.0,36.0,40.0,existing paid,4-7 yrs,own,furniture,female,middle,1
22800.0,1199.0,9.0,67.0,no credits,4-7 yrs,own,education,female,senior,1
43600.0,1882.0,18.0,25.0,no credits,1-4 yrs,rent,other,female,young,0
61800.0,7238.0,48.0,32.0,existing paid,7+ yrs,own,other,male,middle,1
39400.0,2279.0,12.0,37.0,no credits,1-4 yrs,free,other,male,middle,1
37400.0,1123.0,12.0,29.0,no credits,1-4 yrs,rent,furniture,female,young,0
39800.0,3872.0,18.0,67.0,no credits,unemployed,own,other,female,senior,1
57800.0,717.0,24.0,54.0,existing paid,7+ yrs,own,car,male,senior,1
32600.0,2327.0,15.0,25.0,no credits,<1 yr,own,other,female,young,0
20300.0,1391.0,9.0,27.0,no credits,1-4 yrs,own,business,male,young,1
70700.0,2760.0,24.0,36.0,no credits,7+ yrs,free,car,male,middle,1
23500.0,2389.0,18.0,27.0,no credits,<1 yr,own,other,female,young,1
21800.0,2978.0,6.0,32.0,no credits,1-4 yrs,own,furniture,male,middle,1
55700.0,2299.0,36.0,39.0,no credits,7+ yrs,own,other,male,middle,1
84200.0,1553.0,18.0,44.0,delayed,1-4 yrs,own,furniture,male,middle,0
63500.0,7166.0,42.0,29.0,no credits,4-7 yrs,rent,other,male,young,1
41500.0,2427.0,18.0,42.0,existing paid,7+ yrs,own,business,male,middle,1
27200.0,3556.0,15.0,29.0,no credits,1-4 yrs,own,car,male,young,1
25500.0,2406.0,9.0,31.0,paid back duly,unemployed,own,furniture,male,middle,1
54000.0,409.0,12.0,42.0,delayed,1-4 yrs,rent,other,female,middle,1
72200.0,15857.0,36.0,43.0,no credits,unemployed,own,other,male,middle,1
27200.0,2366.0,12.0,36.0,paid back duly,4-7 yrs,own,car,male,middle,1
54700.0,1433.0,15.0,25.0,paid back duly,1-4 yrs,rent,furniture,female,young,1
19700.0,6887.0,36.0,29.0,existing paid,1-4 yrs,own,education,male,young,0
171300.0,1881.0,12.0,44.0,no credits,1-4 yrs,rent,other,female,middle,1
31500.0,1538.0,6.0,56.0,no credits,<1 yr,own,education,female,senior,1
106400.0,1569.0,15.0,34.0,delayed,7+ yrs,own,other,male,middle,1
36700.0,6872.0,24.0,55.0,delayed,<1 yr,own,furniture,male,senior,0
79200.0,4526.0,24.0,74.0,paid back duly,1-4 yrs,own,business,male,senior,1
25800.0,1082.0,12.0,48.0,critical,1-4 yrs,own,car,male,middle,0
54300.0,1231.0,24.0,57.0,paid back duly,7+ yrs,rent,other,female,senior,1
29800.0,3915.0,27.0,36.0,no credits,1-4 yrs,own,business,male,middle,0
31600.0,1860.0,12.0,34.0,paid back duly,unemployed,own,car,male,middle,1
91200.0,7472.0,12.0,24.0,no credits,unemployed,rent,car,female,young,1
87500.0,3398.0,8.0,39.0,paid back duly,4-7 yrs,own,car,male,middle,1
29900.0,2333.0,24.0,29.0,existing paid,<1 yr,own,furniture,male,young,1
20200.0,2022.0,24.0,37.0,paid back duly,1-4 yrs,own,car,female,middle,1
19300.0,4113.0,24.0,28.0,no credits,<1 yr,rent,car,female,young,0
50400.0,2600.0,18.0,65.0,no credits,1-4 yrs,free,other,male,senior,0
24500.0,674.0,12.0,20.0,no credits,4-7 yrs,own,other,male,young,0
42900.0,1007.0,12.0,22.0,no credits,1-4 yrs,own,car,male,young,1
37500.0,5293.0,27.0,50.0,critical,unemployed,own,business,male,middle,0
